"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"106446";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-7-24T00:00:00Z";"16.55";"84.4833"
"106447";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-7-25T00:00:00Z";"17.8833";"85.4167"
"106448";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-7-26T00:00:00Z";"19.3";"85.1667"
"106449";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-8-3T00:00:00Z";NULL;NULL
"106337";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-21T00:00:00Z";"-33.0833";"-20.2667"
"106412";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-6-3T00:00:00Z";"-12.0333";"42.7167"
"106416";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-6-7T00:00:00Z";"-5.48333";"44.5667"
"106445";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-7-23T00:00:00Z";"14.9333";"82.9167"
"106361";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-4-13T00:00:00Z";"-33.9833";"16.5"
"106333";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-17T00:00:00Z";"-29.3667";"-25.4"
"106334";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-18T00:00:00Z";"-30.05";"-24.5333"
"106335";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-19T00:00:00Z";"-30.65";"-23.8333"
"106336";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-20T00:00:00Z";"-31.8333";"-22.3333"
"106338";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-22T00:00:00Z";"-33.3";"-20.52"
"106339";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-23T00:00:00Z";"-33.2667";"-20.65"
"106340";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-24T00:00:00Z";"-34.1667";"-19.38"
"106341";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-25T00:00:00Z";"-35.15";"-16.28"
"106332";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-16T00:00:00Z";"-28.75";"-26.1333"
"106331";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-15T00:00:00Z";"-27.9167";"-27.0833"
"106323";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-7T00:00:00Z";"-11.6333";"-28.4167"
"106324";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-8T00:00:00Z";"-13.7667";"-28.6167"
"106325";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-9T00:00:00Z";"-15.75";"-28.8167"
"106326";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-10T00:00:00Z";"-17.6833";"-29.2167"
"106327";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-11T00:00:00Z";"-21";"-29.2167"
"106328";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-12T00:00:00Z";"-23.3833";"-29.2167"
"106329";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-13T00:00:00Z";"-25.2667";"-28.6167"
"106330";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-14T00:00:00Z";"-26.5167";"-28.0167"
"106342";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-26T00:00:00Z";"-35.2167";"-13.4"
"106343";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-27T00:00:00Z";"-35.3667";"-11.1"
"106353";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-9T00:00:00Z";"-35.0667";"9.47"
"106354";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-10T00:00:00Z";"-35.1167";"10.2"
"106355";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-11T00:00:00Z";"-34.4833";"11.5"
"106356";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-12T00:00:00Z";"-34.3167";"13.33"
"106357";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-13T00:00:00Z";"-34.3167";"15.37"
"106358";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-14T00:00:00Z";"-34.2167";"17.65"
"106359";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-15T00:00:00Z";NULL;NULL
"106360";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-16T00:00:00Z";NULL;NULL
"106352";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-8T00:00:00Z";"-35.6333";"9.12"
"106285";"Scholtenburg";"3979.4";"Texel";"Bengal";"1766-12-31T00:00:00Z";"43.9833";"-13.9667"
"106344";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-2-28T00:00:00Z";"-35.3333";"-10.33"
"106345";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-1T00:00:00Z";"-35.4167";"-8.8"
"106346";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-2T00:00:00Z";"-35.8667";"-6.52"
"106347";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-3T00:00:00Z";"-35.9667";"-3.78"
"106348";"Scholtenburg";"3979.4";"Texel";"Bengal";"1767-3-4T00:00:00Z";"-35.9667";"-2.18"
