"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"80370";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-4T00:00:00Z";"-31.7833";"87.45"
"80371";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-5T00:00:00Z";"-31.9667";"88"
"80372";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-6T00:00:00Z";"-32.4333";"89.7333"
"80373";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-7T00:00:00Z";"-32.7";"91.4333"
"80374";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-8T00:00:00Z";"-32.5167";"92.6167"
"80394";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-28T00:00:00Z";"-7.93333";"105.05"
"80369";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-3T00:00:00Z";"-32.0167";"87.15"
"80368";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-2T00:00:00Z";"-32.5167";"86.65"
"80367";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-1T00:00:00Z";"-33.3833";"85.0667"
"80366";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-31T00:00:00Z";"-34.4667";"82.5833"
"80365";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-30T00:00:00Z";"-34.8167";"80.8333"
"80364";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-29T00:00:00Z";"-34.8833";"79.6333"
"80363";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-28T00:00:00Z";"-35.4";"78.2667"
"80362";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-27T00:00:00Z";"-35.5167";"77.45"
"80361";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-26T00:00:00Z";"-35.5667";"77.2167"
"80360";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-5-25T00:00:00Z";"-36.8667";"71.55"
"80375";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-9T00:00:00Z";"-31.2167";"94.0667"
"80376";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-10T00:00:00Z";"-29.6167";"95.7667"
"80377";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-11T00:00:00Z";"-27.9667";"97.65"
"80398";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-7-7T00:00:00Z";"-6.1";"106.867"
"80397";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-7-1T00:00:00Z";NULL;NULL
"80396";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-30T00:00:00Z";NULL;NULL
"80395";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-29T00:00:00Z";"-7.55";"103.533"
"80393";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-27T00:00:00Z";"-8.36667";"106.883"
"80387";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-21T00:00:00Z";"-16.5833";"107.033"
"80386";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-20T00:00:00Z";"-18.0167";"106.717"
"80385";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-19T00:00:00Z";"-19.2833";"106.4"
"80384";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-18T00:00:00Z";"-20.65";"106.233"
"80383";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-17T00:00:00Z";"-21.2";"106.133"
"80382";"Nederlands Welvaren";"4625.2";"Texel";"Batavia";"1789-6-16T00:00:00Z";"-22.5833";"106.233"
