"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"85743";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-23T00:00:00Z";"8.31667";"-19.3167"
"85811";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-31T00:00:00Z";"-34.1167";"13.47"
"85744";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-24T00:00:00Z";"7.68333";"-19.25"
"85813";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-2T00:00:00Z";"-35.3";"13.23"
"85814";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-3T00:00:00Z";"-34.55";"14.94"
"85822";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-5-18T00:00:00Z";"-36.25";"18.21"
"85821";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-5-17T00:00:00Z";"-34.7833";"17.75"
"85745";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-25T00:00:00Z";"7.08333";"-19.1667"
"85820";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-9T00:00:00Z";NULL;NULL
"85819";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-8T00:00:00Z";NULL;NULL
"85818";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-7T00:00:00Z";"-34.15";"17.5"
"85817";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-6T00:00:00Z";"-33.8667";"16.77"
"85816";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-5T00:00:00Z";"-33.9167";"15.63"
"85815";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-4T00:00:00Z";"-34.7";"14.46"
"85812";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-4-1T00:00:00Z";"-34.75";"12.56"
"85780";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-1T00:00:00Z";"-26.4";"-25.6667"
"85809";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-29T00:00:00Z";"-35.2833";"10.02"
"85805";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-25T00:00:00Z";"-34.6667";"9.8"
"85806";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-26T00:00:00Z";"-33.9667";"10.26"
"85807";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-27T00:00:00Z";"-34.95";"9.57"
"85808";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-28T00:00:00Z";"-35.1833";"9.42"
"85810";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-30T00:00:00Z";"-35.2167";"11.8"
"85738";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-18T00:00:00Z";"15.05";"-20.7833"
"85758";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-2-7T00:00:00Z";"0.4";"-17.15"
"85793";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-13T00:00:00Z";"-34.75";"-7.73333"
"85804";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-24T00:00:00Z";"-35.0667";"9.64"
"85803";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-23T00:00:00Z";"-35.4167";"8.84"
"85734";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-14T00:00:00Z";"23.3";"-21.0333"
"85735";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-15T00:00:00Z";"20.95";"-20.7833"
"85736";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-16T00:00:00Z";"18.2";"-20.7833"
"85737";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-17T00:00:00Z";"16.4833";"-20.7833"
"85739";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-19T00:00:00Z";"12.8";"-20.3167"
"85740";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-20T00:00:00Z";"11.0167";"-19.9667"
"85741";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-21T00:00:00Z";"9.5";"-19.65"
"85742";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-1-22T00:00:00Z";"8.88333";"-19.4833"
"85855";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-6-20T00:00:00Z";"-4.08333";"45.5167"
"85801";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-3-21T00:00:00Z";"-35.2";"5.76"
"85835";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-5-31T00:00:00Z";"-27.6667";"34.13"
"85836";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-6-1T00:00:00Z";"-27.3333";"33.49"
"85837";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-6-2T00:00:00Z";"-27.0667";"33.21"
"85838";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-6-3T00:00:00Z";"-25.4167";"34"
"85839";"Oud Haarlem";"4165.3";"Rammekens";"Ceylon";"1773-6-4T00:00:00Z";"-25.5";"33.95"
