"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"54482";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-15T00:00:00Z";"-6.71667";"-12.1667"
"54483";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-16T00:00:00Z";"-5.38333";"-13.7333"
"54484";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-17T00:00:00Z";"-4.08333";"-15.1833"
"54485";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-18T00:00:00Z";"-2.76667";"-16.6167"
"54481";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-14T00:00:00Z";"-8";"-11.1333"
"54480";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-13T00:00:00Z";"-9.1";"-9.93333"
"54479";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-12T00:00:00Z";"-9.98333";"-9.11667"
"54478";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-11T00:00:00Z";"-10.5667";"-8.51667"
"54477";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-10T00:00:00Z";"-11.2167";"-7.73333"
"54476";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-9T00:00:00Z";"-12.0167";"-6.9"
"54475";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-8T00:00:00Z";"-13.9833";"-5.48333"
"54486";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-19T00:00:00Z";"-1.38333";"-17.9"
"54487";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-20T00:00:00Z";"-0.15";"-19.0833"
"54497";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-30T00:00:00Z";"8.8";"-27.7"
"54496";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-29T00:00:00Z";"7.48333";"-26.3667"
"54495";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-28T00:00:00Z";"7.13333";"-25.4167"
"54494";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-27T00:00:00Z";"6.5";"-24.4667"
"54493";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-26T00:00:00Z";"4.8";"-23.6"
"54492";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-25T00:00:00Z";"3.91667";"-22.7167"
"54491";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-24T00:00:00Z";"2.6";"-21.7667"
"54490";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-23T00:00:00Z";"2.13333";"-21.2333"
"54489";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-22T00:00:00Z";"1.7";"-20.7667"
"54488";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-21T00:00:00Z";"0.9";"-20.0333"
"54498";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-31T00:00:00Z";"10.3667";"-29.25"
"54474";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-7T00:00:00Z";"-14.4";"-4.26667"
"54473";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-6T00:00:00Z";"-15.4833";"-3.13333"
"54460";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-23T00:00:00Z";"-26.7833";"9.31667"
"54459";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-22T00:00:00Z";"-28.1333";"10.8833"
"54458";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-21T00:00:00Z";"-29.7";"12.45"
"54457";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-20T00:00:00Z";"-31.1833";"14.35"
"54456";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-19T00:00:00Z";"-32.85";"16.9333"
"54455";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-18T00:00:00Z";"-33.8667";"18.1"
"54454";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-3-22T00:00:00Z";NULL;NULL
"54453";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-3-20T00:00:00Z";"-34.6833";"24.25"
"54452";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-3-19T00:00:00Z";"-34.9833";"26.5833"
"54451";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-3-18T00:00:00Z";"-34.7";"29.1833"
"54461";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-24T00:00:00Z";"-25.3333";"7.71667"
"54462";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-25T00:00:00Z";"-23.8667";"6.11667"
"54472";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-5T00:00:00Z";"-16.0167";"-2.5"
"54471";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-4T00:00:00Z";"-16.4667";"-1.8"
"54470";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-3T00:00:00Z";"-17.0167";"-1.3"
"54469";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-2T00:00:00Z";"-17.6167";"-0.433333"
"54468";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-5-1T00:00:00Z";"-18.3333";"0.233333"
"54467";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-30T00:00:00Z";"-18.9";"0.833334"
"54466";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-29T00:00:00Z";"-19.4167";"1.5"
"54465";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-28T00:00:00Z";"-20.2833";"2.35"
"54464";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-27T00:00:00Z";"-21.2333";"3.41667"
"54463";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-4-26T00:00:00Z";"-22.3667";"4.63333"
"54450";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-3-17T00:00:00Z";"-34.5833";"31.7667"
"54499";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-1T00:00:00Z";"11.8667";"-30.7833"
"54548";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-30T00:00:00Z";NULL;NULL
"54535";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-7T00:00:00Z";"57.0333";"-20.86"
"54534";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-6T00:00:00Z";"55.2667";"-23.89"
"54533";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-5T00:00:00Z";"53.6";"-26.06"
"54532";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-4T00:00:00Z";"51.6333";"-27.96"
"54531";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-3T00:00:00Z";"50.0667";"-29.11"
"54530";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-2T00:00:00Z";"48.1";"-30.2"
"54529";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-1T00:00:00Z";"47.1667";"-30.58"
"54528";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-30T00:00:00Z";"46.5667";"-31.65"
"54527";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-29T00:00:00Z";"45.75";"-31.95"
"54526";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-28T00:00:00Z";"44.4333";"-33.2"
"54536";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-8T00:00:00Z";"58.4667";"-18.35"
"54537";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-9T00:00:00Z";"60.2";"-15.75"
"54547";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-19T00:00:00Z";"60.8";NULL
"54546";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-18T00:00:00Z";"61.0833";"-2.36667"
"54545";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-17T00:00:00Z";"61.4833";"-3.13333"
"54544";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-16T00:00:00Z";"61.9833";"-2.05"
"54543";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-15T00:00:00Z";"61.75";"-3"
"54542";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-14T00:00:00Z";"61.4333";"-3.98333"
"54541";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-13T00:00:00Z";"61.0167";"-5.4"
"54540";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-12T00:00:00Z";"60.85";"-7.15"
"54539";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-11T00:00:00Z";"60.6333";"-8.75"
"54538";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-7-10T00:00:00Z";"60.5333";"-12.63"
"54525";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-27T00:00:00Z";"43.5333";"-33.54"
"54524";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-26T00:00:00Z";"42.9";"-34.62"
"54523";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-25T00:00:00Z";"42.3167";"-35.94"
"54510";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-12T00:00:00Z";"30.65";"-39.7333"
"54509";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-11T00:00:00Z";"28.9333";"-39.5333"
"54508";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-10T00:00:00Z";"27.1833";"-39"
"54507";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-9T00:00:00Z";"25.9";"-38.0167"
"54506";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-8T00:00:00Z";"24.1333";"-37.4833"
"54505";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-7T00:00:00Z";"22.7";"-36.7"
"54504";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-6T00:00:00Z";"20.45";"-35.9"
"54503";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-5T00:00:00Z";"18.6";"-35.0833"
"54502";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-4T00:00:00Z";"16.95";"-34.0667"
"54501";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-3T00:00:00Z";"15.1833";"-33.15"
"54511";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-13T00:00:00Z";"32.3167";"-39.7333"
"54512";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-14T00:00:00Z";"33.3333";"-39.7333"
"54522";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-24T00:00:00Z";"40.9333";"-37.34"
"54521";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-23T00:00:00Z";"40.3833";"-37.83"
"54520";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-22T00:00:00Z";"39.9333";"-38.16"
"54519";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-21T00:00:00Z";"38.9167";"-38.62"
"54518";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-20T00:00:00Z";"37.4";"-39.2667"
"54517";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-19T00:00:00Z";"35.6167";"-39.7167"
"54516";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-18T00:00:00Z";"35";"-39.4167"
"54515";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-17T00:00:00Z";"34.5667";"-39.25"
"54514";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-16T00:00:00Z";"34.0833";"-39.3833"
"54513";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-15T00:00:00Z";"34.0167";"-39.7333"
"54500";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-6-2T00:00:00Z";"13.55";"-32.25"
"54449";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-3-16T00:00:00Z";"-35.25";"32.8333"
"54391";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-1-18T00:00:00Z";"20.4833";"88.45"
"54407";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-3T00:00:00Z";"-0.5";"87.6333"
"54408";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-4T00:00:00Z";"-1.76667";"87.4333"
"54409";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-5T00:00:00Z";"-2.33333";"87.3333"
"54410";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-6T00:00:00Z";"-3";"87.5667"
"54411";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-7T00:00:00Z";"-3.91667";"88.25"
"54412";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-8T00:00:00Z";"-4.66667";"88.4333"
"54413";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-9T00:00:00Z";"-5.06667";"88.55"
"54414";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-10T00:00:00Z";"-5.41667";"88.3667"
"54415";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-11T00:00:00Z";"-6.1";"88.8333"
"54416";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-12T00:00:00Z";"-6.56667";"89.5"
"54417";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-13T00:00:00Z";"-6.55";"89.65"
"54418";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-14T00:00:00Z";"-7.16667";"89.2667"
"54406";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-2T00:00:00Z";"0.866667";"87.6333"
"54405";"Hercules";"7474.4";"Bengal";"Rammekens";"1756-2-1T00:00:00Z";"2.25";"87.6333"
