"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"11305";"Africa";"1345.2";"Texel";"Batavia";"1677-6-11T00:00:00Z";"-4.06667";"-22.8167"
"11285";"Africa";"1345.2";"Texel";"Batavia";"1677-5-22T00:00:00Z";"11.5667";"-23.0667"
"11329";"Africa";"1345.2";"Texel";"Batavia";"1677-7-5T00:00:00Z";"-36.1667";"-2.65"
"11328";"Africa";"1345.2";"Texel";"Batavia";"1677-7-4T00:00:00Z";"-36.1667";"-5.09"
"11327";"Africa";"1345.2";"Texel";"Batavia";"1677-7-3T00:00:00Z";"-36.1";"-7.57"
"11326";"Africa";"1345.2";"Texel";"Batavia";"1677-7-2T00:00:00Z";"-35.3833";"-10.81"
"11325";"Africa";"1345.2";"Texel";"Batavia";"1677-7-1T00:00:00Z";"-34.4333";"-13.5"
"11324";"Africa";"1345.2";"Texel";"Batavia";"1677-6-30T00:00:00Z";"-33.5667";"-16.2"
"11323";"Africa";"1345.2";"Texel";"Batavia";"1677-6-29T00:00:00Z";"-32.7667";"-17.96"
"11322";"Africa";"1345.2";"Texel";"Batavia";"1677-6-28T00:00:00Z";"-31.25";"-19.63"
"11321";"Africa";"1345.2";"Texel";"Batavia";"1677-6-27T00:00:00Z";"-30.7833";"-19.94"
"11320";"Africa";"1345.2";"Texel";"Batavia";"1677-6-26T00:00:00Z";"-29.75";"-21.03"
"11319";"Africa";"1345.2";"Texel";"Batavia";"1677-6-25T00:00:00Z";"-28.3333";"-22.5333"
"11318";"Africa";"1345.2";"Texel";"Batavia";"1677-6-24T00:00:00Z";"-26.7333";"-23.2833"
"11317";"Africa";"1345.2";"Texel";"Batavia";"1677-6-23T00:00:00Z";"-25.3833";"-23.6833"
"11316";"Africa";"1345.2";"Texel";"Batavia";"1677-6-22T00:00:00Z";"-23.8667";"-24.4167"
"11315";"Africa";"1345.2";"Texel";"Batavia";"1677-6-21T00:00:00Z";"-21.45";"-24.4167"
"11286";"Africa";"1345.2";"Texel";"Batavia";"1677-5-23T00:00:00Z";"10.0333";"-22.4333"
"11287";"Africa";"1345.2";"Texel";"Batavia";"1677-5-24T00:00:00Z";"8.66667";"-21.8833"
"11288";"Africa";"1345.2";"Texel";"Batavia";"1677-5-25T00:00:00Z";"8.41667";"-21.4833"
"11304";"Africa";"1345.2";"Texel";"Batavia";"1677-6-10T00:00:00Z";"-3.05";"-22.3667"
"11303";"Africa";"1345.2";"Texel";"Batavia";"1677-6-9T00:00:00Z";"-1.81667";"-21.7"
"11302";"Africa";"1345.2";"Texel";"Batavia";"1677-6-8T00:00:00Z";"-0.333333";"-21.2333"
"11301";"Africa";"1345.2";"Texel";"Batavia";"1677-6-7T00:00:00Z";"1.05";"-20.9667"
"11300";"Africa";"1345.2";"Texel";"Batavia";"1677-6-6T00:00:00Z";"2.5";"-20.3"
"11299";"Africa";"1345.2";"Texel";"Batavia";"1677-6-5T00:00:00Z";"3.03333";"-19.75"
"11298";"Africa";"1345.2";"Texel";"Batavia";"1677-6-4T00:00:00Z";"2.96667";"-20.35"
"11297";"Africa";"1345.2";"Texel";"Batavia";"1677-6-3T00:00:00Z";"3.15";"-21.3667"
"11296";"Africa";"1345.2";"Texel";"Batavia";"1677-6-2T00:00:00Z";"3.3";"-22.15"
"11295";"Africa";"1345.2";"Texel";"Batavia";"1677-6-1T00:00:00Z";"4.21667";"-21.45"
"11294";"Africa";"1345.2";"Texel";"Batavia";"1677-5-31T00:00:00Z";"5.4";"-20.7833"
"11293";"Africa";"1345.2";"Texel";"Batavia";"1677-5-30T00:00:00Z";"5.66667";"-20.3167"
"11292";"Africa";"1345.2";"Texel";"Batavia";"1677-5-29T00:00:00Z";"5.78333";"-20.4"
"11291";"Africa";"1345.2";"Texel";"Batavia";"1677-5-28T00:00:00Z";"6.5";"-20.5167"
"11290";"Africa";"1345.2";"Texel";"Batavia";"1677-5-27T00:00:00Z";"7.63333";"-20.85"
"11289";"Africa";"1345.2";"Texel";"Batavia";"1677-5-26T00:00:00Z";"8.18333";"-21.1"
"11284";"Africa";"1345.2";"Texel";"Batavia";"1677-5-21T00:00:00Z";"13.3";"-23.8167"
