"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"29223";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-14T00:00:00Z";"-19.3333";"1.46667"
"29224";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-15T00:00:00Z";"-18.6333";"0.583334"
"29225";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-16T00:00:00Z";"-17.6667";"-0.466668"
"29226";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-17T00:00:00Z";"-16.5833";"-1.56667"
"29227";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-18T00:00:00Z";"-15.9667";"-3.08333"
"29228";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-19T00:00:00Z";"-15";"-4.28333"
"29229";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-20T00:00:00Z";"-13.85";"-5.58333"
"29230";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-21T00:00:00Z";"-12.95";"-6.66667"
"29222";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-13T00:00:00Z";"-20.2833";"2.48333"
"29221";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-12T00:00:00Z";"-21.3833";"3.7"
"29251";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-11T00:00:00Z";"6.85";"-26.95"
"29214";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-5T00:00:00Z";"-32.2833";"16.35"
"29215";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-6T00:00:00Z";"-30.8333";"14.6333"
"29216";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-7T00:00:00Z";"-29.25";"12.8"
"29217";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-8T00:00:00Z";"-27.6667";"11.4167"
"29218";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-9T00:00:00Z";"-26";"9.23333"
"29219";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-10T00:00:00Z";"-24.3167";"6.73333"
"29220";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-11T00:00:00Z";"-22.5833";"5.36667"
"29231";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-22T00:00:00Z";"-11.9833";"-7.75"
"29232";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-23T00:00:00Z";"-10.8833";"-8.96667"
"29233";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-24T00:00:00Z";"-9.76667";"-10.15"
"29250";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-10T00:00:00Z";"5.9";"-25.9167"
"29249";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-9T00:00:00Z";"4.6";"-25.15"
"29248";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-8T00:00:00Z";"3.86667";"-24.05"
"29247";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-7T00:00:00Z";"2.88333";"-23.0333"
"29246";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-6T00:00:00Z";"2.16667";"-22.3167"
"29245";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-5T00:00:00Z";"1.7";"-21.1833"
"29244";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-4T00:00:00Z";"1";"-20.6"
"29243";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-3T00:00:00Z";"0.383333";"-20.3667"
"29242";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-2T00:00:00Z";"-0.3";"-19.8667"
"29241";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-4-1T00:00:00Z";"-0.883333";"-19.4833"
"29234";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-25T00:00:00Z";"-8.38333";"-11.3667"
"29235";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-26T00:00:00Z";"-7.13333";"-13.0833"
"29236";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-27T00:00:00Z";"-5.88333";"-14.2667"
"29237";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-28T00:00:00Z";"-4.75";"-15.5"
"29238";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-29T00:00:00Z";"-4.05";"-16.45"
"29239";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-30T00:00:00Z";"-2.78333";"-17.7167"
"29240";"Botland";"7872.1";"Kaap de Goede Hoop";"Texel";"1773-3-31T00:00:00Z";"-1.71667";"-18.7667"
