"RecID";"ShipName";"DASNumber";"VoyageFrom";"VoyageTo";"timestamp";"Lat3";"Lon3"
"69278";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-3T00:00:00Z";"3.16667";"-20.4167"
"69292";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-17T00:00:00Z";"-11.8";"-24.85"
"69293";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-18T00:00:00Z";"-13.1667";"-24.7333"
"69294";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-19T00:00:00Z";"-14.6";"-24.6"
"69295";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-20T00:00:00Z";"-16.2";"-24.3167"
"69296";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-21T00:00:00Z";"-17.5333";"-24.0667"
"69298";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-23T00:00:00Z";"-19.7667";"-23.1333"
"69299";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-24T00:00:00Z";"-20.75";"-22.8833"
"69300";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-25T00:00:00Z";"-21.8667";"-22.83"
"69301";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-26T00:00:00Z";"-22.6833";"-23.14"
"69302";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-27T00:00:00Z";"-23.4333";"-22.43"
"69291";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-16T00:00:00Z";"-10.5167";"-24.9667"
"69290";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-15T00:00:00Z";"-9.28333";"-24.9667"
"69279";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-4T00:00:00Z";"2.4";"-20.9833"
"69280";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-5T00:00:00Z";"1.8";"-21"
"69281";"Maarseveen";"0977.2";"Rotterdam";"Batavia";"1662-12-6T00:00:00Z";"1.25";"-22.0167"
